,secs,x1,x2,y1,y2
709,32.16,439,275,486,310
710,32.2,444,271,491,314
711,32.2,440,276,486,311
712,32.24,443,271,489,314
713,32.24,439,276,485,311
714,32.28,438,276,484,311
715,32.28,445,271,491,314
716,32.32,437,276,484,311
717,32.32,442,272,488,314
718,32.36,432,276,495,311
719,32.36,444,271,489,313
720,32.4,448,550,274,352
721,32.44,447,273,549,351
722,32.48,429,273,487,312
723,32.52,434,274,480,308
724,32.56,433,274,480,308
725,32.6,432,274,478,308
726,32.64,426,270,484,313
727,32.68,428,276,490,311
728,32.72,427,276,489,311
729,32.76,427,275,490,310
730,32.8,427,273,478,312
731,32.84,439,271,479,311
732,32.88,433,274,531,348
733,32.92,439,275,474,304
734,32.96,-5,284,36,313
735,33.0,-7,283,34,313
736,33.04,437,276,473,305
737,33.08,435,276,471,305
738,33.12,435,276,471,305
739,33.16,419,273,470,311
740,33.2,420,273,471,311
741,33.24,419,274,480,308
742,33.28,419,275,479,308
743,33.32,418,275,478,308
744,33.36,418,274,477,307
745,33.4,407,271,467,309
746,33.44,430,272,468,305
747,33.48,429,271,467,305
748,33.52,428,272,466,305
749,33.56,427,272,464,305
750,33.64,418,274,461,306
751,33.68,423,274,512,339
752,33.72,-6,282,36,311
753,33.76,413,271,452,306
754,33.8,412,271,450,306
755,33.84,407,271,458,308
756,33.88,422,271,460,304
757,33.92,420,271,457,303
758,33.96,-6,281,36,311
759,34.0,-5,281,37,311
760,34.04,414,267,459,305
761,34.08,414,266,458,304
762,34.12,415,267,458,304
763,34.16,403,272,452,304
764,34.2,412,267,458,305
765,34.24,414,273,502,337
766,34.28,410,268,449,305
767,34.32,409,269,448,306
768,34.36,409,269,448,306
769,34.4,415,273,501,339
770,34.44,411,268,449,307
771,34.48,412,268,450,307
772,34.52,-6,281,35,310
773,34.56,413,272,498,337
774,34.6,413,272,497,337
775,34.64,408,271,496,338
776,34.68,411,271,499,338
777,34.72,408,271,496,338
778,34.76,411,273,495,337
779,34.84,411,274,443,300
780,34.88,412,273,443,299
781,34.92,410,273,441,299
782,34.96,396,271,451,302
783,35.0,410,273,441,298
784,35.04,387,268,441,304
785,35.08,405,268,444,303
786,35.12,403,268,439,303
787,35.16,402,268,437,303
788,35.2,386,269,441,303
789,35.24,409,273,439,298
790,35.28,403,267,440,302
791,35.32,403,268,440,303
792,35.36,404,269,439,300
793,35.4,403,270,438,301
794,35.44,399,267,442,303
795,35.48,391,274,433,303
796,35.52,394,272,429,303
